
4137	9.825	S
STON/O2. 3101279	15.85	S
315096	8.6625	S
28664	21	S
347064	7.75	S
29106	18.75	S
312992	7.775	S
4133	25.4667	S
349222	7.8958	S
394140	6.8583	Q
19928	90	Q
239853	0	S
STON/O 2. 3101269	7.925	S
343095	8.05	S
28220	32.5	S
250652	13	S
28228	13	S
345773	24.15	S
349254	7.8958	C
A/5. 13032	7.7333	Q
315082	7.875	S
347080	14.4	S
370129	20.2125	S
A/4. 34244	7.25	S
2003	26	S
250655	26	S
364851	7.75	Q
SOTON/O.Q. 392078	8.05	S
110564	26.55	S
376564	16.1	S
SC/AH 3085	26	S
STON/O 2. 3101274	7.125	S
13507	55.9	S
113760	120	S
W./C. 6608	34.375	S
29106	18.75	S
19950	263	S
C.A. 18723	10.5	S
F.C.C. 13529	26.25	S
345769	9.5	S
347076	7.775	S
230434	13	S
65306	8.1125	S
33638	81.8583	S
250644	19.5	S
113794	26.55	S
2666	19.2583	C
113786	30.5	S
C.A. 34651	27.75	S
65303	19.9667	S
113051	27.75	C
17453	89.1042	C
A/5 2817	8.05	S
349240	7.8958	C
13509	26.55	S
17464	51.8625	S
F.C.C. 13531	10.5	S
371060	7.75	Q
19952	26.55	S
364506	8.05	S
111320	38.5	S
234360	13	S
A/S 2816	8.05	S
SOTON/O.Q. 3101306	7.05	S
239853	0	S
113792	26.55	S
36209	7.725	Q
2666	19.2583	C
323592	7.25	S
315089	8.6625	S
C.A. 34651	27.75	S
SC/AH Basle 541	13.7917	C
7553	9.8375	S
110465	52	S
31027	21	S
3460	7.0458	S
350060	7.5208	S
3101298	12.2875	S
CA 2144	46.9	S
239854	0	S
A/5 3594	8.05	S
4134	9.5875	S
11967	91.0792	C
4133	25.4667	S
19943	90	S
11771	29.7	C
A.5. 18509	8.05	S
C.A. 37671	15.9	S
65304	19.9667	S
SOTON/OQ 3101317	7.25	S
113787	30.5	S
PC 17609	49.5042	C
A/4 45380	8.05	S
2627	14.4583	C
36947	78.2667	C
C.A. 6212	15.1	S
113781	151.55	S
350035	7.7958	S
315086	8.6625	S
364846	7.75	Q
330909	7.6292	Q
4135	9.5875	S
110152	86.5	S
PC 17758	108.9	C
26360	26	S
111427	26.55	S
C 4001	22.525	S
1601	56.4958	S
382651	7.75	Q
SOTON/OQ 3101316	8.05	S
PC 17473	26.2875	S
PC 17603	59.4	C
349209	7.4958	S
36967	34.0208	S
C.A. 34260	10.5	S
371110	24.15	Q
226875	26	S
349242	7.8958	S
12749	93.5	S
349252	7.8958	S
2624	7.225	C
111361	57.9792	C
2700	7.2292	C
367232	7.75	Q
W./C. 14258	10.5	S
PC 17483	221.7792	S
3101296	7.925	S
29104	11.5	S
26360	26	S
2641	7.2292	C
2690	7.2292	C
2668	22.3583	C
315084	8.6625	S
F.C.C. 13529	26.25	S
113050	26.55	S
PC 17761	106.425	C
364498	14.5	S
13568	49.5	C
WE/P 5735	71	S
347082	31.275	S
347082	31.275	S
2908	26	S
PC 17761	106.425	C
693	26	S
2908	26	S
SC/PARIS 2146	13.8625	C
363291	20.525	S
C.A. 33112	36.75	S
17421	110.8833	C
244358	26	S
330979	7.8292	Q
2620	7.225	C
347085	7.775	S
113807	26.55	S
11755	39.6	C
PC 17757	227.525	C
110413	79.65	S
345572	17.4	S
372622	7.75	Q
349251	7.8958	S
218629	13.5	S
SOTON/OQ 392082	8.05	S
SOTON/O.Q. 392087	8.05	S
A/4 48871	24.15	S
349205	7.8958	S
349909	21.075	S
2686	7.2292	C
350417	7.8542	S
S.W./PP 752	10.5	S
11769	51.4792	S
PC 17474	26.3875	S
14312	7.75	Q
A/4. 20589	8.05	S
358585	14.5	S
243880	13	S
13507	55.9	S
2689	14.4583	C
STON/O 2. 3101286	7.925	S
237789	30	S
17421	110.8833	C
28403	26	S
13049	40.125	C
3411	8.7125	C
110413	79.65	S
237565	15	S
13567	79.2	C
14973	8.05	S
A./5. 3235	8.05	S
STON/O 2. 3101273	7.125	S
36947	78.2667	C
A/5 3902	7.25	S
364848	7.75	Q
SC/AH 29037	26	S
345773	24.15	S
248727	33	S
LINE	0	S
2664	7.225	C
PC 17485	56.9292	C
243847	27	S
349214	7.8958	S
113796	42.4	S
364511	8.05	S
111426	26.55	C
349910	15.55	S
349246	7.8958	S
113804	30.5	S
SC/Paris 2123	41.5792	C
PC 17582	153.4625	S
347082	31.275	S
SOTON/O.Q. 3101305	7.05	S
367230	15.5	Q
370377	7.75	Q
364512	8.05	S
220845	65	S
347080	14.4	S
A/5. 3336	16.1	S
230136	39	S
31028	10.5	S
2659	14.4542	C
11753	52.5542	S
2653	15.7417	C
350029	7.8542	S
54636	16.1	S
36963	32.3208	S
219533	12.35	Q
13502	77.9583	S
349224	7.8958	S
334912	7.7333	Q
27042	30	S
347743	7.0542	S
13214	30.5	C
112052	0	S
347088	27.9	S
237668	13	S
STON/O 2. 3101292	7.925	S
C.A. 31921	26.25	S
3101295	39.6875	S
376564	16.1	S
350050	7.8542	S
PC 17477	69.3	C
347088	27.9	S
1601	56.4958	S
2666	19.2583	C
PC 17572	76.7292	C
349231	7.8958	S
13213	35.5	C
S.O./P.P. 751	7.55	S
CA. 2314	7.55	S
349221	7.8958	S
231919	23	S
8475	8.4333	S
330919	7.8292	Q
365226	6.75	Q
S.O.C. 14879	73.5	S
349223	7.8958	S
364849	15.5	Q
29751	13	S
35273	113.275	C
PC 17611	133.65	S
2623	7.225	C
5727	25.5875	S
349210	7.4958	S
STON/O 2. 3101285	7.925	S
S.O.C. 14879	73.5	S
234686	13	S
312993	7.775	S
A/5 3536	8.05	S
19996	52	S
29750	39	S
F.C. 12750	52	S
C.A. 24580	10.5	S
244270	13	S
239856	0	S
349912	7.775	S
342826	8.05	S
4138	9.8417	S
CA 2144	46.9	S
PC 17755	512.3292	C
330935	8.1375	Q
PC 17572	76.7292	C
6563	9.225	S
CA 2144	46.9	S
29750	39	S
SC/Paris 2123	41.5792	C
3101295	39.6875	S
349228	10.1708	S
350036	7.7958	S
24160	211.3375	S
17474	57	S
349256	13.4167	C
1601	56.4958	S
2672	7.225	C
113800	26.55	S
248731	13.5	S
363592	8.05	S
35852	7.7333	Q
17421	110.8833	C
348121	7.65	S
PC 17757	227.525	C
PC 17475	26.2875	S
2691	14.4542	C
36864	7.7417	Q
350025	7.8542	S
250655	26	S
223596	13.5	S
PC 17476	26.2875	S
113781	151.55	S
2661	15.2458	C
PC 17482	49.5042	C
113028	26.55	S
19996	52	S
7545	9.4833	S
250647	13	S
348124	7.65	S
PC 17757	227.525	C
34218	10.5	S
36568	15.5	Q
347062	7.775	S
248727	33	S
350048	7.0542	S
12233	13	S
250643	13	S
113806	53.1	S
315094	8.6625	S
31027	21	S
36866	7.7375	Q
236853	26	S
STON/O2. 3101271	7.925	S
24160	211.3375	S
2699	18.7875	C
239855	0	S
28425	13	S
233639	13	S
54636	16.1	S
W./C. 6608	34.375	S
PC 17755	512.3292	C
349201	7.8958	S
349218	7.8958	S
16988	30	S
19877	78.85	S
PC 17608	262.375	C
376566	16.1	S
STON/O 2. 3101288	7.925	S
WE/P 5735	71	S
C.A. 2673	20.25	S
250648	13	S
113773	53.1	S
335097	7.75	Q
29103	23	S
392096	12.475	S
345780	9.5	S
349204	7.8958	S
220845	65	S
250649	14.5	S
350042	7.7958	S
29108	11.5	S
363294	8.05	S
110152	86.5	S
358585	14.5	S
SOTON/O2 3101272	7.125	S
2663	7.2292	C
113760	120	S
347074	7.775	S
13502	77.9583	S
112379	39.6	C
364850	7.75	Q
371110	24.15	Q
8471	8.3625	S
345781	9.5	S
350047	7.8542	S
S.O./P.P. 3	10.5	S
2674	7.225	C
29105	23	S
347078	7.75	S
383121	7.75	Q
364516	12.475	S
36865	7.7375	Q
24160	211.3375	S
2687	7.2292	C
17474	57	S
113501	30	S
W./C. 6607	23.45	S
SOTON/O.Q. 3101312	7.05	S
374887	7.25	S
3101265	7.4958	S
382652	29.125	Q
C.A. 2315	20.575	S
PC 17593	79.2	C
12460	7.75	Q
239865	26	S
CA. 2343	69.55	S
PC 17600	30.6958	C
349203	7.8958	S
28213	13	S
17465	25.9292	S
349244	8.6833	S
2685	7.2292	C
345773	24.15	S
250647	13	S
C.A. 31921	26.25	S
113760	120	S
2625	8.5167	C
347089	6.975	S
347063	7.775	S
112050	0	S
347087	7.775	S
248723	13	S
113806	53.1	S
3474	7.8875	S
A/4 48871	24.15	S
28206	10.5	S
347082	31.275	S
364499	8.05	S
112058	0	S
STON/O2. 3101290	7.925	S
S.C./PARIS 2079	37.0042	C
C 7075	6.45	S
347088	27.9	S
12749	93.5	S
315098	8.6625	S
19972	0	S
392096	12.475	S
3101295	39.6875	S
368323	6.95	Q
1601	56.4958	S
S.C./PARIS 2079	37.0042	C
367228	7.75	Q
113572	80	
2659	14.4542	C
29106	18.75	S
2671	7.2292	C
347468	7.8542	S
2223	8.3	S
PC 17756	83.1583	C
315097	8.6625	S
392092	8.05	S
1601	56.4958	S
11774	29.7	C
SOTON/O2 3101287	7.925	S
S.O./P.P. 3	10.5	S
113798	31	C
2683	6.4375	C
315090	8.6625	S
C.A. 5547	7.55	S
CA. 2343	69.55	S
349213	7.8958	C
248727	33	S
17453	89.1042	C
347082	31.275	S
347060	7.775	S
2678	15.2458	C
PC 17592	39.4	S
244252	26	S
392091	9.35	S
36928	164.8667	S
113055	26.55	S
2666	19.2583	C
2629	7.2292	C
350026	14.1083	S
28134	11.5	S
17466	25.9292	S
CA. 2343	69.55	S
233866	13	S
236852	13	S
SC/PARIS 2149	13.8583	C
PC 17590	50.4958	S
345777	9.5	S
347742	11.1333	S
349248	7.8958	S
11751	52.5542	S
695	5	S
345765	9	S
P/PP 3381	24	C
2667	7.225	C
7534	9.8458	S
349212	7.8958	S
349217	7.8958	S
11767	83.1583	C
230433	26	S
349257	7.8958	S
7552	10.5167	S
C.A./SOTON 34068	10.5	S
SOTON/OQ 392076	7.05	S
382652	29.125	Q
211536	13	S
112053	30	S
W./C. 6607	23.45	S
111369	30	C
370376	7.75	Q

